Identifier	Character	Dialogue	Filename	Line Number
as_estrelas_950094d1	preguica	É aquele ali!	game/cena01.rpy	13
as_estrelas_d6f51825	preguica	Aquele ali, Preguinho, é o Cinturão de Orion!	game/cena01.rpy	15
as_estrelas_2fa6fb01	preguinho	Aahh... Não consigo ver nada, Dona Preguiça...	game/cena01.rpy	16
as_estrelas_c2f1d27c	preguica	Ali Preguinho. Tens que te consentrar um pouco.	game/cena01.rpy	25
as_estrelas_7885793a	preguinho	Ah... Eu tô tentando mas eu não consigo, Dona Preguiça...	game/cena01.rpy	28
as_estrelas_9acae01d	preguinho	Do céu, eu só consigo ver... hmm... as Três Marias!	game/cena01.rpy	32
as_estrelas_da815c0b	preguica	Pronto! É isso! As Três Marias fazem parte do Cinturão de Orion.	game/cena01.rpy	35
as_estrelas_fb34a75e	preguica	Elas ficam bem no meio. O Cinturão é um quadrado.	game/cena01.rpy	36
as_estrelas_7c679c09	preguinho	Ah... Mas por que chamam d-de Cinturão de Orion? Não é, Dona Preguiça?	game/cena01.rpy	39
as_estrelas_cb9b3bcd	preguica	Isso é uma antiga lenda, Preguinho. Todos os povos antigos tinham sua maneira de olhar o céu.	game/cena01.rpy	42
as_estrelas_9ca12c09	preguica	Orion, por exemplo, é um caçador. Ele está no céu junto com duas outras constelações, a do Cão Maior, e a do Cão Menor.	game/cena01.rpy	46
as_estrelas_f6acdd50	preguinho	Puxa, tem até cachorro no céu!?	game/cena01.rpy	49
as_estrelas_d1620f9f	preguica	Não, Preguinho! As várias posições das estrelas é que formam figuras, inclusive de animais. Desde o início do mundo, o céu serviu de mapa, calendário e até relógio.	game/cena01.rpy	52
as_estrelas_7359fbdd	preguinho	Hã? Relógio?	game/cena01.rpy	57
as_estrelas_ea1f7717	preguinho	Olhando pra quarta Maria, Dona Preguiça, que horas tem?	game/cena01.rpy	59
as_estrelas_047044ae	preguica	Quarta Maria??	game/cena01.rpy	62
as_estrelas_595723ab	preguinho	É! A senhora tá vendo, ó...	game/cena01.rpy	64
